t	PL(A)	PL(B)	PL(T)	PL(E)	V(A)	V(B)	V(E)	I(A)	I(B)	I(E)
0,000	84,400	114,100	1,985E+2	0,000E+0	1,880E+2	1,877E+2	0,000E+0	8,832E-1	8,717E-1	0,000E+0
0,000	84,500	114,300	1,988E+2	0,000E+0	1,880E+2	1,878E+2	0,000E+0	8,821E-1	8,731E-1	0,000E+0
0,000	84,600	114,900	1,995E+2	0,000E+0	1,880E+2	1,879E+2	0,000E+0	8,838E-1	8,763E-1	0,000E+0
0,000	84,400	114,800	1,992E+2	0,000E+0	1,880E+2	1,876E+2	0,000E+0	8,839E-1	8,767E-1	0,000E+0
0,000	84,400	114,700	1,991E+2	0,000E+0	1,879E+2	1,876E+2	0,000E+0	8,835E-1	8,753E-1	0,000E+0
0,000	84,400	114,700	1,991E+2	0,000E+0	1,879E+2	1,876E+2	0,000E+0	8,835E-1	8,753E-1	0,000E+0
0,000	84,600	115,000	1,996E+2	0,000E+0	1,880E+2	1,878E+2	0,000E+0	8,853E-1	8,756E-1	0,000E+0
0,000	78,000	101,900	1,799E+2	0,000E+0	1,868E+2	1,865E+2	0,000E+0	7,975E-1	7,888E-1	0,000E+0
0,000	71,400	89,400	1,608E+2	0,000E+0	1,843E+2	1,838E+2	0,000E+0	7,144E-1	7,074E-1	0,000E+0
0,000	72,800	91,700	1,645E+2	0,000E+0	1,847E+2	1,844E+2	0,000E+0	7,343E-1	7,254E-1	0,000E+0
0,000	73,000	92,100	1,651E+2	0,000E+0	1,850E+2	1,844E+2	0,000E+0	7,332E-1	7,255E-1	0,000E+0
0,000	73,000	92,100	1,651E+2	0,000E+0	1,850E+2	1,844E+2	0,000E+0	7,332E-1	7,255E-1	0,000E+0
0,000	55,200	63,500	1,187E+2	0,000E+0	1,806E+2	1,806E+2	0,000E+0	5,275E-1	5,232E-1	0,000E+0
0,000	54,700	62,400	1,171E+2	0,000E+0	1,803E+2	1,799E+2	0,000E+0	5,272E-1	5,205E-1	0,000E+0
0,000	57,800	66,600	1,244E+2	0,000E+0	1,809E+2	1,809E+2	0,000E+0	5,554E-1	5,480E-1	0,000E+0
0,000	45,900	49,900	9,580E+1	0,000E+0	1,792E+2	1,788E+2	0,000E+0	4,314E-1	4,256E-1	0,000E+0
