Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
567	-4,88281	567	308,838	567	-2,44141
568	-3,66211	568	308,838	568	-1,2207
569	-3,66211	569	307,617	569	-3,66211
570	-2,44141	570	308,838	570	-1,2207
571	-2,44141	571	307,617	571	0
572	-2,44141	572	307,617	572	-2,44141
573	-3,66211	573	307,617	573	-1,2207
574	-3,66211	574	308,838	574	0
575	-2,44141	575	307,617	575	-2,44141
576	-4,88281	576	307,617	576	-1,2207
577	-4,88281	577	307,617	577	-2,44141
578	-6,10352	578	308,838	578	-2,44141
579	-4,88281	579	307,617	579	-2,44141
580	-4,88281	580	307,617	580	-2,44141
581	-4,88281	581	307,617	581	-1,2207
582	-3,66211	582	307,617	582	-1,2207
583	-4,88281	583	307,617	583	-1,2207
584	-4,88281	584	307,617	584	-2,44141
585	-6,10352	585	307,617	585	-2,44141
586	-1,2207	586	307,617	586	-2,44141
587	-3,66211	587	307,617	587	-2,44141
588	-3,66211	588	306,396	588	-2,44141
589	-2,44141	589	307,617	589	-2,44141
590	-3,66211	590	308,838	590	-2,44141
591	-3,66211	591	307,617	591	-1,2207
592	-3,66211	592	308,838	592	-1,2207
593	-134,277	593	306,396	593	3,66211
594	-103,76	594	307,617	594	1,2207
595	-109,863	595	307,617	595	0
596	-109,863	596	307,617	596	2,44141
597	-113,525	597	307,617	597	0
598	-120,85	598	307,617	598	2,44141
599	-129,395	599	307,617	599	-1,2207
600	-135,498	600	307,617	600	1,2207
601	-35,4004	601	307,617	601	1,2207
602	-59,8145	602	306,396	602	-1,2207
603	-73,2422	603	307,617	603	-3,66211
604	-80,5664	604	307,617	604	-1,2207
605	-86,6699	605	310,059	605	-2,44141
606	-84,2285	606	307,617	606	-3,66211
607	-76,9043	607	307,617	607	-2,44141
608	-67,1387	608	308,838	608	-3,66211
609	-50,0488	609	306,396	609	-2,44141
610	-30,5176	610	310,059	610	-3,66211
611	-13,4277	611	307,617	611	-1,2207
612	1,2207	612	306,396	612	-2,44141
613	0	613	307,617	613	0
614	2,44141	614	307,617	614	-2,44141
615	-1,2207	615	307,617	615	-1,2207
616	0	616	308,838	616	-1,2207
617	2,44141	617	307,617	617	-1,2207
618	0	618	308,838	618	-3,66211
619	2,44141	619	307,617	619	-1,2207
620	1,2207	620	308,838	620	-1,2207
621	0	621	307,617	621	-3,66211
622	2,44141	622	307,617	622	-2,44141
623	1,2207	623	308,838	623	-2,44141
624	1,2207	624	307,617	624	-1,2207
